# r_minor                R                      currdens               B_tor                  B_theta                Psi_N                  
# time step #000000
  0.0                    1.001733E+01           9.32138697E+04         9.9826999809E-01       5.477083484038535E-05  0.0
  2.619398766471421E-02  1.001729723105756E+01  9.312147611146154E+04  9.982766967622644E-01  1.538805049385784E-03  9.999010045358750E-04
  3.702129523926508E-02  1.001724485537454E+01  9.302938679954491E+04  9.982853412594648E-01  2.173732872230390E-03  1.996799233789337E-03
  4.533611885565971E-02  1.001719323032586E+01  9.293728912111843E+04  9.982939127285881E-01  2.660639693118836E-03  2.993697075137993E-03
  5.234966300476727E-02  1.001714154918204E+01  9.284519064483409E+04  9.983024916292720E-01  3.070734659363999E-03  3.990593766989402E-03
  5.853161840433071E-02  1.001708984023097E+01  9.275309079625303E+04  9.983110751642001E-01  3.431668465246796E-03  4.987492678835015E-03
  6.412297393191572E-02  1.001703810094143E+01  9.266098933057113E+04  9.983196635960743E-01  3.757635259589844E-03  5.984396685229861E-03
  6.926683633862213E-02  1.001698631289536E+01  9.256888768849318E+04  9.983282587046468E-01  4.057068411485700E-03  6.981292055058059E-03
  7.405654869064335E-02  1.001693450590552E+01  9.247678491705358E+04  9.983368575628448E-01  4.335470908215049E-03  7.978186127173825E-03
  7.855697083013899E-02  1.001688266352268E+01  9.238468008539517E+04  9.983454618425600E-01  4.596668639468421E-03  8.975090520352110E-03
  8.281523678077404E-02  1.001683076303276E+01  9.229257490265639E+04  9.983540737374326E-01  4.843441940215558E-03  9.971989006058531E-03
  8.686696799684671E-02  1.001677883354042E+01  9.220046874298308E+04  9.983626903866262E-01  5.077895129842067E-03  1.096888549297881E-02
  9.073983166369183E-02  1.001672686153439E+01  9.210836186296356E+04  9.983713131173204E-01  5.301662617742934E-03  1.196577849981884E-02
  9.445587083705716E-02  1.001667487467785E+01  9.201625308457353E+04  9.983799392352913E-01  5.516047164470204E-03  1.296267805236153E-02
  9.803293718652804E-02  1.001662286791280E+01  9.192414206049578E+04  9.983885692553454E-01  5.722104254269552E-03  1.395958837695400E-02
  1.014856049948534E-01  1.001657079515334E+01  9.183203253903627E+04  9.983972076180163E-01  5.920696550807123E-03  1.495647348590606E-02
  1.048263534780502E-01  1.001651870479222E+01  9.173991888511070E+04  9.984058497403190E-01  6.112562082908180E-03  1.595338945052555E-02
  1.080653696925021E-01  1.001646657839908E+01  9.164780687548098E+04  9.984144972126472E-01  6.298304709170357E-03  1.695027577627659E-02
  1.112117241653665E-01  1.001641439533243E+01  9.155569219442397E+04  9.984231522617214E-01  6.478459709549219E-03  1.794718088163656E-02
  1.142729575634067E-01  1.001636218339106E+01  9.146357757368752E+04  9.984318120313888E-01  6.653475296291283E-03  1.894407271107457E-02
  1.172558023265824E-01  1.001630992509748E+01  9.137146101809415E+04  9.984404783250790E-01  6.823751106660267E-03  1.994097436828765E-02
  1.201660447318366E-01  1.001625765500949E+01  9.127934393351925E+04  9.984491476795734E-01  6.989630237637214E-03  2.093786748631466E-02
  1.230088977674617E-01  1.001620535702128E+01  9.118722449628133E+04  9.984578217558450E-01  7.151422138244557E-03  2.193477319982536E-02
  1.257888512972825E-01  1.001615300794228E+01  9.109510557987045E+04  9.984665027426964E-01  7.309393902772797E-03  2.293166269917135E-02
  1.285100744475724E-01  1.001610063799111E+01  9.100298396135822E+04  9.984751877970308E-01  7.463792714918662E-03  2.392856790402272E-02
  1.311761757621723E-01  1.001604825194863E+01  9.091086123597682E+04  9.984838762797693E-01  7.614833330758561E-03  2.492547109646550E-02
  1.337905222685064E-01  1.001599575567124E+01  9.081873680877349E+04  9.984925777063631E-01  7.762714272343918E-03  2.592238745686305E-02
  1.363558998357057E-01  1.001594327534930E+01  9.072661600616880E+04  9.985012792521284E-01  7.907602528843831E-03  2.691924791671474E-02
  1.388752715992386E-01  1.001589069653154E+01  9.063449028927910E+04  9.985099926905794E-01  8.049674359059539E-03  2.791615497410235E-02
  1.413509848487103E-01  1.001583814088886E+01  9.054236293370860E+04  9.985187056798102E-01  8.189069899517383E-03  2.891306209912933E-02
  1.437852518882750E-01  1.001578556022092E+01  9.045023598690733E+04  9.985274230803238E-01  8.325921178155832E-03  2.990995178523185E-02
  1.461802584855943E-01  1.001573292132317E+01  9.035810521230735E+04  9.985361482694547E-01  8.460358044882156E-03  3.090687257764334E-02
  1.485377865962424E-01  1.001568026432512E+01  9.026597494573095E+04  9.985448771286258E-01  8.592487317855276E-03  3.190377416165335E-02
  1.508596400659558E-01  1.001562757068761E+01  9.017384344597932E+04  9.985536115656533E-01  8.722416669330005E-03  3.290067695002398E-02
  1.531474613955506E-01  1.001557480575647E+01  9.008171169853539E+04  9.985623549482421E-01  8.850241786207236E-03  3.389757338401350E-02
  1.554027529460638E-01  1.001552201576084E+01  8.998957861922386E+04  9.985711027769816E-01  8.976053526341900E-03  3.489447101608091E-02
  1.576268631432888E-01  1.001546917616643E+01  8.989744602562314E+04  9.985798573782450E-01  9.099933461729806E-03  3.589135240604461E-02
  1.598211634360645E-01  1.001541632539676E+01  8.980531068004049E+04  9.985886151146827E-01  9.221963249476281E-03  3.688824904187456E-02
  1.619868739081961E-01  1.001536345880753E+01  8.971317224677213E+04  9.985973764632878E-01  9.342215565893781E-03  3.788516496089667E-02
